# pipefail-early-exit-baseline.txt — generated by
# scripts/check-pipefail-early-exit.sh --update
#
# Per-file count of `set -o pipefail` pipelines whose status is consumed and
# whose consumer exits early (head / grep -q / grep -m / read) — the SIGPIPE
# class behind #7060, #7285, #7540, #7736 and #7771 (parent #7789).
#
# This is a debt ledger, not a target. The gate fails when a listed file GAINS
# an occurrence, or when an unlisted file gains its first. Shedding occurrences
# is always allowed — rerun with --update to record the reduction.
#
# Most entries are latent, not live: a producer whose output fits the pipe
# buffer never SIGPIPEs. Being listed here is not a bug report. It means the
# file may not add another one, and that a reader looking for the next #7771
# has a candidate list.
#
# Entries under defaults/scripts/tests/ and defaults/hooks/tests/ are mostly the
# per-file assert_contains / assert_not_contains helpers, whose rewrite is
# issue #7862's scope, not this ledger's. They are expected to fall to 0 as
# that work lands; the ratchet allows that without an --update.
#
# <occurrences> <path>
5 dashboard/scripts/check-deploy-config.sh
1 defaults/hooks/methodology-inject.sh
1 defaults/hooks/skill-router.sh
1 defaults/hooks/tests/test-hook-wiring.sh
1 defaults/scripts/blame-issue.sh
1 defaults/scripts/check-defaults-version-bump.sh
1 defaults/scripts/check-duplicate.sh
1 defaults/scripts/check-evaluating-staleness.sh
1 defaults/scripts/check-host-sleep.sh
3 defaults/scripts/check-promotion-landed.sh
1 defaults/scripts/classify-ac-verification.sh
1 defaults/scripts/classify-capacity-defer.sh
20 defaults/scripts/claude-wrapper.sh
3 defaults/scripts/cli/loom-daemon-start.sh
2 defaults/scripts/cli/loom-daemon-update.sh
6 defaults/scripts/cli/loom-daemon-watchdog.sh
2 defaults/scripts/cli/loom-status.sh
1 defaults/scripts/lib/body-repo-affinity.sh
14 defaults/scripts/merge-pr.sh
1 defaults/scripts/rebase-stacked-children.sh
1 defaults/scripts/safe-stash-pop.sh
3 defaults/scripts/spawn-claude.sh
2 defaults/scripts/spawn-codex.sh
3 defaults/scripts/sweep-checkpoint.sh
2 defaults/scripts/sweep-run-registry.sh
3 defaults/scripts/sync-labels.sh
2 defaults/scripts/tests/test-agent-destroy.sh
5 defaults/scripts/tests/test-build-gate-timeout.sh
2 defaults/scripts/tests/test-champion-ci-checks-no-checks-signal.sh
1 defaults/scripts/tests/test-champion-epic-verdict-marker-scope.sh
10 defaults/scripts/tests/test-check-defaults-version-bump.sh
11 defaults/scripts/tests/test-check-git-identity.sh
7 defaults/scripts/tests/test-check-host-sleep.sh
14 defaults/scripts/tests/test-check-main-clean.sh
25 defaults/scripts/tests/test-check-main-freshness.sh
16 defaults/scripts/tests/test-check-quarantine-stashes.sh
1 defaults/scripts/tests/test-claim-staleness.sh
6 defaults/scripts/tests/test-config-tiers-cli-migration.sh
1 defaults/scripts/tests/test-default-branch.sh
1 defaults/scripts/tests/test-dep-recheck-fingerprint.sh
1 defaults/scripts/tests/test-docs-guide-lock.sh
1 defaults/scripts/tests/test-gh-cached.sh
1 defaults/scripts/tests/test-github-app-token.sh
3 defaults/scripts/tests/test-guard-codex-bridge.sh
3 defaults/scripts/tests/test-guide-docs-pr-exclude-refresh.sh
1 defaults/scripts/tests/test-guide-docs-telemetry.sh
1 defaults/scripts/tests/test-guide-plan-body-stable-sort.sh
1 defaults/scripts/tests/test-guide-work-log-issue-out-of-order.sh
1 defaults/scripts/tests/test-guide-work-log-out-of-order-merge.sh
1 defaults/scripts/tests/test-hard-exclusion-labels.sh
6 defaults/scripts/tests/test-land-resync-commit.sh
1 defaults/scripts/tests/test-loom-daemon-launchd-plist.sh
6 defaults/scripts/tests/test-loom-daemon-quiesce.sh
65 defaults/scripts/tests/test-loom-daemon-start.sh
12 defaults/scripts/tests/test-loom-daemon-stop.sh
136 defaults/scripts/tests/test-loom-daemon-update.sh
